"(PDH-TSV 4.0) (Central Europe Standard Time)(-60)"	"MyApp.Server.exe"	"MyApp.Client.exe"	"Available Bytes"	"% Processor Time"	"python.exe"
"10/31/2023 09:33:47.609"	"164421632"	"1997975552"	"21761085440"	"25.917775377768205"	"28160000"
"10/31/2023 09:33:48.606"	"164458496"	"1997975552"	"21763420160"	"29.188501900603512"	"28160000"
"10/31/2023 09:33:49.610"	"164421632"	"1997975552"	"21758767104"	"22.311419539883548"	"28160000"
"10/31/2023 09:33:50.614"	"164458496"	"1997975552"	"21762424832"	"26.475528713964202"	"28160000"
"10/31/2023 09:33:51.607"	"164421632"	"1997975552"	"21761601536"	"19.488945428801753"	"28160000"
"10/31/2023 09:33:52.610"	"164458496"	"1997975552"	"21771558912"	"19.175172126840312"	"28160000"
"10/31/2023 09:33:53.615"	"164458496"	"1997975552"	"21770244096"	"22.266651702064323"	"28160000"
"10/31/2023 09:33:54.611"	"164458496"	"1998008320"	"21594570752"	"21.240313971994919"	"28160000"
"10/31/2023 09:33:55.607"	"159518720"	"1998008320"	"21517889536"	"19.922173195189941"	"28160000"
"10/31/2023 09:33:56.620"	"159686656"	"1997975552"	"21425733632"	"24.262628483102688"	"28160000"
"10/31/2023 09:33:57.609"	"159686656"	"1997975552"	"21409947648"	"21.682339507041458"	"28160000"
"10/31/2023 09:33:58.617"	"159690752"	"1997975552"	"21373566976"	"30.740107454960807"	"28160000"
"10/31/2023 09:33:59.613"	"159649792"	"1997975552"	"21362020352"	"22.448981231625666"	"28160000"
"10/31/2023 09:34:00.617"	"159690752"	"1997975552"	"21333848064"	"22.636346626963586"	"28160000"
"10/31/2023 09:34:01.610"	"159649792"	"1997975552"	"21682958336"	"22.711085585313672"	"28160000"
"10/31/2023 09:34:02.611"	"159690752"	"1997975552"	"21677879296"	"18.833739231235135"	"28160000"
"10/31/2023 09:34:03.610"	"159649792"	"1997975552"	"21694078976"	"26.400973614272871"	"28160000"
"10/31/2023 09:34:04.613"	"159690752"	"1997975552"	"21700481024"	"21.792720541151368"	"28160000"
"10/31/2023 09:34:05.610"	"159649792"	"1997975552"	"21703172096"	"21.316658589449268"	"28160000"
"10/31/2023 09:34:06.606"	"384958464"	"1998041088"	"21424484352"	"30.540306899743975"	"28160000"
"10/31/2023 09:34:07.605"	"485883904"	"1998041088"	"21282344960"	"27.125646241932401"	"28160000"
"10/31/2023 09:34:08.612"	"485883904"	"1998041088"	"21318680576"	"28.381354337775775"	"28160000"
"10/31/2023 09:34:09.605"	"485801984"	"1998045184"	"21426049024"	"19.352027556307362"	"28160000"
"10/31/2023 09:34:10.621"	"485842944"	"1998045184"	"21455798272"	"19.77354030623102"	"28160000"
"10/31/2023 09:34:11.612"	"485801984"	"1998045184"	"21468270592"	"22.753988668735303"	"28160000"
"10/31/2023 09:34:12.614"	"485842944"	"1998045184"	"21491884032"	"19.286326252481643"	"28160000"
"10/31/2023 09:34:13.606"	"485842944"	"1998045184"	"21488959488"	"23.121756000344583"	"28160000"
"10/31/2023 09:34:14.606"	"485842944"	"1998045184"	"21499551744"	"20.407878446820483"	"28160000"
